epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,3210.63,0.54697,0.36231,1.17852,0.26831,0.26861,0.29561,0.18197,1.53688,8.3849,2.23408,0.000135077,0.000135077,0.000135077
88,3244.69,0.54805,0.35942,1.1821,0.24193,0.24841,0.28236,0.17066,1.463,8.4133,2.24816,0.000126078,0.000126078,0.000126078
89,3278.94,0.54497,0.36632,1.18202,0.24458,0.26214,0.29142,0.17471,1.46243,8.54628,2.27426,0.000117079,0.000117079,0.000117079
90,3313.67,0.53798,0.35467,1.18205,0.24928,0.22074,0.27466,0.15885,1.53197,8.38083,2.32496,0.00010808,0.00010808,0.00010808
91,3347.71,0.41893,0.21538,1.23692,0.28913,0.22006,0.28197,0.16071,1.53607,8.34345,2.1803,9.9081e-05,9.9081e-05,9.9081e-05
92,3381.77,0.40803,0.20243,1.22819,0.23316,0.18833,0.24279,0.13797,1.65263,8.28995,2.24291,9.00819e-05,9.00819e-05,9.00819e-05
93,3414.04,0.4061,0.20154,1.22158,0.28223,0.12945,0.1935,0.10374,1.63372,8.38603,2.2539,8.10828e-05,8.10828e-05,8.10828e-05
94,3446.04,0.39286,0.19372,1.21827,0.19386,0.16181,0.20741,0.11257,1.53818,8.43598,2.21955,7.20837e-05,7.20837e-05,7.20837e-05
95,3478.04,0.39951,0.19555,1.22163,0.20611,0.20065,0.23642,0.13279,1.5448,8.19123,2.19136,6.30846e-05,6.30846e-05,6.30846e-05
96,3509.88,0.39042,0.18917,1.21793,0.19597,0.19094,0.22456,0.12201,1.45319,8.12179,2.1477,5.40855e-05,5.40855e-05,5.40855e-05
97,3541.66,0.39463,0.19185,1.21529,0.22494,0.22164,0.24664,0.13425,1.4711,8.0983,2.14117,4.50864e-05,4.50864e-05,4.50864e-05
98,3573.42,0.3899,0.18813,1.20618,0.22564,0.23054,0.25528,0.13511,1.51226,8.16486,2.1498,3.60873e-05,3.60873e-05,3.60873e-05
99,3605.13,0.38619,0.18561,1.20442,0.23744,0.22437,0.25688,0.13965,1.53383,8.21249,2.14871,2.70882e-05,2.70882e-05,2.70882e-05
100,3638.61,0.38911,0.18456,1.20525,0.2493,0.22083,0.26275,0.14149,1.56496,8.15202,2.17257,1.80891e-05,1.80891e-05,1.80891e-05
